id,level,date,start,end,buffer_start,buffer_end,student_group_hash,branch_id,slot_id,guide_id,room_id,lesson_type_id
44317,"Kid's Level 1",2024-08-24,13:20:00,15:20:00,2024-08-24 13:20:00,2024-08-24 15:20:00,3f41d6928efa77564b79c1a815097962,1,254,3403,4,1
44731,2A,2024-08-24,14:25:00,16:25:00,2024-08-24 14:25:00,2024-08-24 16:25:00,a9f9c04e94dd5e527f58cbd2cb8bfc20,1,270,478,8,2
45088,2B,2024-08-24,14:25:00,16:25:00,2024-08-24 14:25:00,2024-08-24 16:25:00,ca2869fb002b6552545521265494d6d6,1,270,4688,10,2
45091,2B,2024-08-24,12:15:00,14:15:00,2024-08-24 12:15:00,2024-08-24 14:15:00,88c802d0322dcc461b83f1f66e7be72c,1,268,4688,8,2
45179,Kids 2B,2024-08-24,17:10:00,19:10:00,2024-08-24 17:10:00,2024-08-24 19:10:00,c1e3d78dd6b1937ef6e86b365fb43f1d,1,69,2674,2,1
45218,3A,2024-08-24,12:15:00,14:15:00,2024-08-24 12:15:00,2024-08-24 14:15:00,87131dc15574a3d071db05f8334597fd,1,268,3719,9,2
45221,3A,2024-08-24,14:25:00,16:25:00,2024-08-24 14:25:00,2024-08-24 16:25:00,c2fc0d3338b4d18fd12cfd481176d7ec,1,270,4027,5,1
45239,3A,2024-08-24,13:20:00,14:20:00,2024-08-24 13:20:00,2024-08-24 14:20:00,c2fc0d3338b4d18fd12cfd481176d7ec,1,256,4027,5,1
44316,1,2024-08-22,15:30:00,16:30:00,2024-08-22 15:30:00,2024-08-22 16:30:00,881d6604cd0bb9fcd49100343a32304c,1,255,4031,1,1
44322,1,2024-08-22,13:20:00,15:20:00,2024-08-22 13:20:00,2024-08-22 15:20:00,881d6604cd0bb9fcd49100343a32304c,1,254,1878,6,1
44394,2A,2024-08-22,09:35:00,10:35:00,2024-08-22 09:35:00,2024-08-22 10:35:00,ece4232eea88c7a7312fcbd22c224bd8,1,258,4031,3,1
44409,2A,2024-08-22,10:40:00,12:40:00,2024-08-22 10:40:00,2024-08-22 12:40:00,ece4232eea88c7a7312fcbd22c224bd8,1,56,4031,3,1
44424,2A,2024-08-22,13:20:00,14:20:00,2024-08-22 13:20:00,2024-08-22 14:20:00,ece4232eea88c7a7312fcbd22c224bd8,1,256,4031,3,1
44439,4A,2024-08-22,10:40:00,12:40:00,2024-08-22 10:40:00,2024-08-22 12:40:00,c7d311c418adb0e4d4a3de4c20347f9e,1,56,506,5,1
44454,4A,2024-08-22,08:30:00,10:30:00,2024-08-22 08:30:00,2024-08-22 10:30:00,c7d311c418adb0e4d4a3de4c20347f9e,1,53,92,5,1
44469,4A,2024-08-22,10:40:00,12:40:00,2024-08-22 10:40:00,2024-08-22 12:40:00,9fe75f52cd6550829a996a264ce9925a,1,56,92,16,1
44501,4A,2024-08-22,13:20:00,15:20:00,2024-08-22 13:20:00,2024-08-22 15:20:00,9fe75f52cd6550829a996a264ce9925a,1,254,506,16,1
44526,3B,2024-08-22,09:35:00,10:35:00,2024-08-22 09:35:00,2024-08-22 10:35:00,8b00a0e8939a0aec7ebf2e8f753fae6c,1,258,4691,9,1
